"tarjim","pilih"
"extreme","terlampau"
"tube","paip"
"tube","pembuluh"
"tube","salur"
"tube","silinder"
"tube","tabung"
"tube","tiub"
"drawing","ambilan"
"drawing","gambar"
"drawing","gambar , tarikan , lukisan , penarikan ."
"drawing","gambar ; lukisan"
"drawing","lukisan"
"drawing","sorotan"
"protein","zat protein"
"protein","zat protein"
"quit","bebas"
"quit","berhenti"
"quit","lepas"
"quit","melepaskan"
"quit","membebaskan"
"quit","membebaskan diri"
"quit","menarik diri"
"quit","menyerahkan"
"absence","ketidakhadiran , ketiadaan , kemungkiran , kekurangan ."
"roll","bergolek"
"roll","bergolek ; berguling ; menggiling ; menggulung"
"roll","berguling"
"roll","berguling-guling"
"roll","berguling-gulinglah"
"roll","bergulinglah"
"roll","bergulung"
"Latin","bangsa Latin"
"Latin","Latin"
"jail","jel"
"jail","jil"
"jail","kurungan , penjara ; memenjarakan ."
"jail","mischievous , sneaky MEN--I mistreat , pick on s .o ."
"jail","penjara"
"comment","berkomentar"
"comment","bidasan"
"comment","komen"
"comment","komentar"
"comment","menegur"
"comment","mengulas"
"comment","pandangan"
"comment","teguran"
"honest","amanah"
"honest","benar"
"honest","ikhlas"
"honest","jujur"
"honest","jujur ; lurus ; tulus"
"honest","lurus"
"honest","tulus"
"pace","jangkah"
"pace","langkah"
"pace","langkah , gaya berjalan , kadar jalan ."
"pace","mengukur dengan langkah"
"employment","guna tenaga"
"employment","pekerjaan"
"speaker","pemidato"
"speaker","penceramah"
"speaker","penutur , speaker , pengerusi majlis mesyuarat negeri ."
"impression","cap"
"impression","cetakan"
"impression","gambaran"
"impression","gambaran ; kesan"
"impression","kesan"
"impression","tekanan"
"impression","teraan"
"essay","esei"
"essay","karangan"
"essay","karangan , risalah ."
"essay","makalah"
"essay","rencana"
"respondent","responden"
"respondent","tertuntut"
"giant","bota"
"giant","datia"
"giant","gergasi"
"giant","gergasi ; raksasa"
"giant","maha besar"
"giant","raksasa"
"giant","tak terkira"
"cake","kek"
"cake","kue"
"cake","kueh"
"cake","kuih"
"cake","kuih ,kek ."
"cake","mengeras"
"cake","mengeraskan"
"historian","sejarawan"
"negotiate","berembuk"
"negotiate","berunding"
"negotiate","i) berunding (ii) bergerak dengan cermat"
"negotiate","memperundingkan"
"negotiate","mengadakan"
"negotiate","merundingkan"
"negotiate","runding"
"restore","balik asal"
"restore","membetulkan"
"restore","memperbahami"
"restore","memperbaiki"
"restore","memulihara"
"restore","memulihkan"
"restore","mengembalikan"
"restore","pulih"
"restore","pulihara"
"substantial","kukuh"
"substantial","sungguh"
"substantial","teguh"
"pop","abah"
"pop","bapa"
"pop","bunyi meletup-letup"
"pop","bunyi pop"
"pop","digemari ramai"
"pop","lagu popular"
"pop","meletup-letup"
"particular","istimewa"
"particular","keterangan"
"particular","khas"
"particular","khas , khusus , istimewa ."
"particular","khusus"
"particular","khusus , khusus ."
"particular","perincian"
"particular","tertentu"
"particular","tertentunya"
"specialist","ahli"
"specialist","ahli , pakar ."
"specialist","pakar"
"specialist","spesialis"
"origin","asal"
"origin","asal ; punca"
"origin","asal mula"
"origin","asal usul"
"origin","asalan"
"origin","keturunan"
"origin","negara asal"
"approval","keakuran"
"approval","keakuran ; kebenaran ; perkenan"
"approval","kebenaran , pengesahan , kelulusan ."
"approval","perkenanan"
"mine","lombong"
"mine","melombong"
"mine","periuk api"
"quietly","diam"
"quietly","diam-diam ; senyap-senyap"
"advise","membenar , menasihati ."
"advise","menasihati"
"advise","menasihati ; menasihatkan"
"advise","mengesyorkan"
"conventional","biasa"
"conventional","konvensional"
"conventional","lazim"
"drop","berhenti"
"drop","buang"
"drop","cicir"
"drop","dijatuhkan"
"drop","drupe"
"drop","gugur"
"count","berhitung"
"count","berhitung ; membilang ; menghitung ; mengira"
"count","berkira-kira"
"count","bilang"
"count","bilang ; hitung ; kira"
"count","bilangan"
"depth","dalam"
"depth","dalam ; kedalaman"
"depth","dalamnya"
"depth","jauh dalam"
"depth","kedalaman"
"depth","lebar"
"wealth","harta"
"wealth","harta benda"
"wealth","harta kekayaan"
"wealth","kekayaan"
"wealth","kemewahan"
"disability","kelemahan , kecacatan ."
"shell","cengkerang"
"shell","kelompang"
"shell","kerang"
"shell","kulit"
"shell","letupan"
"shell","menceraikan"
"shell","menembak"
"criticize","dikritik"
"criticize","kritik"
"criticize","membahaskan ; tegur"
"fast","bangat"
"professional","ikhtisas"
"professional","profesion"
"professional","profesional"
"professional","profesional , orang yang bermain sukan , berlakon dan lain-lain semata-mata kerana wang ."
"biological","berkenaan dengan biologi atau kaji hayat"
"biological","biologikal"
"pack","asak"
"pack","berkemas ; mengasak ; mengemaskan"
"pack","bungkus"
"pack","bungkusan"
"pack","bungkusan , pak , kumpulan , sekawan anjing (serigala dan sebagainya) ."
"pack","kumpulan"
"pack","memadatkan"
"pack","mengasak"
"onion","bakung"
"onion","barwang besar"
"onion","bawang"
"onion","bawang bombay"
"deputy","deputi"
"deputy","ganti"
"deputy","naib"
"deputy","naib ; timbalan"
"deputy","pembantu"
"deputy","penolong"
"deputy","timbalan"
"deputy","wakil"
"flat","adem , papar , campah , papak , guntung , pamah , rata ,datar , leper ."
"flat","apartemen"
"flat","apartment"
"flat","bottomed boat or barge"
"flat","canai"
"flat","datar"
"brand","buatan"
"brand","buatan ; jenama"
"brand","cap , tanda ; suluh ."
"brand","jenama"
"brand","menanda"
"assure","memastikan"
"assure","memastikan , menjamin , meyakinkan ."
"assure","menjamin"
"assure","menjanjikan"
"assure","meyakinkan"
"mad","gila"
"mad","gila ; tergila-gila"
"mad","mabuk"
"mad","marah"
"mad","meradang"
"mad","tidak sihat fikiran atau otak , gila ."
"award","anugerah"
"award","anugerah , hadiah ."
"award","anugerah ; kurnia"
"award","hadiah"
"award","kurnia"
"award","menganugerahi"
"award","menghadiahi"
"award","mengurniai ; mengurniakan"
"criteria","kreteria"
"criteria","kriteria"
"criteria","kriteria-kriteria"
"criteria","ukur tara"
"dealer","ejen"
"dealer","pedagang"
"dealer","pembagi , pedagang , pengedar ."
"dealer","penebar"
"dealer","peniaga"
"dealer","peraih"
"dealer","wakil jualan"
"via","lewat"
"via","melalui"
"via","melewati"
"via","menerusi"
"via","via"
"alternative","alternatif"
"alternative","atauan"
"alternative","ganti"
"alternative","gantian"
"alternative","gantinya"
"alternative","pilihan"
"alternative","pilihan antara dua (atau lebih)"
"utility","kegunaan"
"utility","utiliti"
"arise","bangkit"
"arise","bangun"
"arise","muncul"
"arise","terbit"
"arise","timbul"
"arise","timbul , bangkit , muncul , terbit ."
"armed","bersenjata"
"nevertheless","bagaimanapun"
"nevertheless","meskipun"
"nevertheless","namun"
"nevertheless","walau bagaimana pun"
"nevertheless","walau bagaimanapun"
"nevertheless","walaubagaimanapun"
"highway","jalan raya"
"highway","jalan raya ; lebuh raya"
"highway","lebuh raya"
"highway","lebuh-raya"
"highway","lebuhraya"
"clinical","berkenaan dengan klinik"
"clinical","klinikal"
"routine","biasa"
"routine","lazim / rutin"
"routine","rutin"
"schedule","jadual"
"schedule","jadual perjalanan"
"schedule","jadwal"
"schedule","menjadualkan"
"schedule","menyenaraikan"
"schedule","senarai"
"schedule","skedul"
"wage","berperang"
"wage","gaji"
"wage","gaji , salaris ."
"wage","i) gaji , upah , pendapatan (ii) melakukan , melancarkan , menjalankan ."
"wage","upah"
"normally","biasa"
"normally","biasanya"
"phrase","frasa"
"phrase","penggalan kata , rangkai kata ."
"phrase","rangkai kata"
"phrase","ungkapan"
"phrase","ungkapan-ungkapan"
"ingredient","bahan"
"ingredient","perawis"
"ingredient","ramuan"
"stake","i) pancang ; memancang (ii) wang taruhan ; bertaruh"
"stake","menonggak"
"stake","pancang"
"stake","taruh"
"stake","tiang"
"stake","tonggak"
"Muslim","Islamic"
"Muslim","mengenai Islam"
"dream","angan-angan"
"dream","bermimpi"
"dream","bermimpikan"
"dream","harapan"
"dream","impi"
"dream","impi ; mimpi"
"dream","kelamun"
"fiber","gentian"
"fiber","serabut"
"activist","aktifis , orang yang bertindak tegas dalam politik dsb ."
"activist","aktivis"
"activist","penggiat"
"snap","bentak"
"snap","bersemangat"
"snap","cepat"
"snap","detap"
"snap","gambar"
"snap","gigitan tiba-tiba , membentak , patah , merebut (tawaran dan lain-lain) ."
"snap","membentak"
"snap","menangkap gambar"
"snap","menengking"
"terrorism","terorisme"
"refugee","pel an an"
"refugee","pengungsi"
"incorporate","bersatu dengan , mempersatukan ."
"incorporate","memasukkan"
"incorporate","menggabungkan"
"incorporate","perbadankan"
"hip","limas"
"hip","panggul"
"hip","pinggang"
"hip","pinggul"
"hip","pokok hip"
"ultimate","berkenaan"
"ultimate","penghabisan"
"ultimate","penghabisan , yang terakhir ."
"ultimate","terakhir"
"switch","beralih"
"switch","bertukar"
"switch","berubah"
"switch","colokan"
"switch","loncat , meloncat ."
"switch","memetik"
"switch","mengalih"
"switch","mengubah"
"switch","menukar"
"corporation","berperbadanan"
"corporation","kongsi"
"corporation","kongsi ; syarikat ; perbadanan"
"corporation","koperasi"
"corporation","koperat"
"corporation","perbadanan"
"corporation","perbadanan ; syarikat"
"corporation","syarikat"
"valuable","berharga"
"valuable","bernilai"
"valuable","mahal"
"valuable","yang berharga"
"assumption","andaian / anggapan"
"assumption","andaian ; anggapan"
"assumption","anggapan"
"assumption","dugaan , pemisalan , asumsi , anggapan ."
"assumption","tanggapan"
"gear","alat-alatan ; peralatan ; roda sawat ; roda yang bergerigi yang memutarkan satu sama lain dalam sawat atau jentera"
"gear","bersedia"
"gear","gear"
"gear","gigi"
"gear","menukar gear"
"gear","peralatan"
"graduate","berijazah"
"graduate","graduan"
"graduate","mengijazahi"
"graduate","mensijilkan"
"graduate","sarjana"
"graduate","selesai"
"graduate","siswazah"
"barrier","alangan , halangan , empang ."
"barrier","bendung"
"barrier","empangan"
"barrier","gegawar"
"barrier","halangan"
"barrier","penghalang"
"barrier","penyekat"
"provision","bekalan"
"provision","persediaan"
"provision","peruntukan"
"killer","pembunuh"
"assign","keserupaan"
"assign","membahagikan , menentukan , ."
"assign","menentukan"
"assign","menetapkan"
"assign","menetapkan serah hak"
"assign","menugaskan"
"assign","umpuk"
"gang","1 . alley , narrow street ; 2 . gang (of thieves , etc .) ."
"gang","berkomplot"
"gang","berkumpul"
"gang","bersekongkol"
"gang","gang"
"gang","geng"
"gang","gerombolan"
"developing","membangun"
"classic","klasik"
"classic","lama"
"classic","yang berkenaan dengan zaman dahulu kala , klasik ."
"chemical","kimia"
"chemical","kimia , bahan kimia ."
"label","berlabel"
"label","jenama"
"label","label"
"label","melabel"
"label","melabelkan"
"label","memberi nama"
"label","menandakan , membubuh nama atau tanda ; label ."
"label","nama"
"label","pelekat"
"index","daftar"
"index","faharasat"
"index","hujungan"
"index","indeks"
"index","jari kedua"
"index","mendaftarkan"
"index","mengindekskan"
"index","penunjuk"
"index","petunjuk"
"vacation","bercuti"
"vacation","cuti"
"vacation","cuti ; percutian"
"vacation","libur"
"vacation","liburan"
"vacation","pengosongan"
"vacation","percutian"
"advocate","bela"
"advocate","bela ; peguambela"
"advocate","membela"
"advocate","menganjurkan"
"advocate","peguambela"
"advocate","penganjur"
"advocate","penganjur , pengacara ."
"extraordinary","ganjil"
"extraordinary","istimewa"
"extraordinary","istimewa ; luar biasa"
"extraordinary","luar biasa"
"extraordinary","luar biasa , sangat ."
"heaven","angkasa"
"heaven","firdaus"
"heaven","firdaus ; syurga"
"heaven","kayangan"
"heaven","kayangan , syurga , langit ."
"heaven","sorga"
"heaven","sorgalah"
"heaven","surga"
"rough","berbahaya"
"rough","bergelora"
"rough","berlaku kasar terhadap"
"yell","bersorak"
"yell","berteriak"
"yell","jeritan"
"yell","jerkah"
"yell","lalak"
"yell","memekik"
"yell","menjerit"
"yell","pekikan"
"pregnant","berbadan dua"
"pregnant","berbadan dua ; hamil ; mengandung"
"pregnant","hamil"
"pregnant","hamil , mengandung , bunting ."
"pregnant","hamillah"
"pregnant","mengandung"
"distant","dingin"
"distant","jauh"
"distant","jauh , baid ."
"distant","lama"
"distant","renggang"
"drama","bangsawan"
"drama","drama"
"drama","drama . MEN--KAN dramatize . PEN--AN , PER--AN dramatization ."
"drama","lakonan , sandiwara , drama ."
"drama","sandiwara"
"drama","wayang"
"satellite","pengiring , satelit ."
"satellite","satelit"
"personally","secara peribadi"
"personally","sendiri"
"wonder","hairan"
"wonder","kagum"
"wonder","keajaiban"
"wonder","mengagumi"
"wonder","menghairani"
"wonder","takjub"
"clock","arloji"
"clock","arloji ; jam"
"clock","jam"
"clock","jam dinding"
"clock","lonceng"
"clock","waktu"
"chocolate","coklat"
"Italian","orang Itali"
"ceiling","bumbung"
"ceiling","lelangit"
"ceiling","siling"
"sweep","sapu"
"sweep","sapukanlah"
"advertising","iklan"
"advertising","pengiklanan"
"advertising","pengiklanan ; periklanan"
"advertising","periklanan"
"universal","sedunia"
"universal","sejagat"
"universal","semesta"
"universal","syumul"
"universal","umum"
"universal","universal"
"universal","yang meliputi semuanya atau seluruhnya di dunia (alam) ini , umum ."
"spin","berlilit"
"spin","berpintal"
"spin","berpusing"
"spin","lilit"
"spin","melilit"
"spin","memintal"
"house","bait"
"house","gedung"
"house","gudang"
"house","kediaman"
"house","keluarga"
"house","kerabat"
"house","melindungi"
"house","merumahkan"
"house","rumah"
"button","butang"
"button","butang / punat"
"button","butang ; punat"
"button","kancing , kancing ."
"button","membutang"
"button","punat"
"bell","loceng"
"rank","Ayatollah"
"rank","barisan"
"rank","berbaris"
"rank","busuk"
"rank","darjat"
"rank","darjat ; pangkat"
"darkness","kegelapan"
"darkness","kegelapanlah"
"darkness","kekelaman , gelapan , kegelapan ."
"darkness","kemuraman"
"ahead","dahulu"
"ahead","depan"
"ahead","ke haluan"
"ahead","maju"
"ahead","sebelumnya"
"clothing","busana"
"clothing","kain baju"
"clothing","pakaian"
"clothing","pakaian-pakaian"
"clothing","persalinan"
"super","hebat"
"super","sangat"
"super","terlalu"
"yield","hasil"
"yield","hasil ; alah"
"yield","membuahkan"
"yield","mengalah"
"yield","mengeluarkan"
"yield","menghasilkan"
"yield","menyerah"
"fence","memagari"
"fence","memagarkan"
"fence","pagar"
"fence","pagarlah"
"portrait","gambar"
"portrait","gambaran"
"portrait","potret"
"portrait","potret ; gambar"
"paint","cat"
"paint","cat ; mengecat"
"paint","cet"
"paint","dicat"
"paint","dicet"
"paint","dilukis"
"paint","lukis"
"paint","lukis , melukis ."
"paint","lumas ; mengecat"
"survival","kehidupan"
"survival","kelangsungan hidup"
"survival","kewujudan"
"survival","penakatan"
"roughly","kira-kira"
"roughly","kurang lebih"
"roughly","lebih kurang"
"roughly","sekitar"
"lawsuit","aksi , sengketa ."
"lawsuit","bicara"
"lawsuit","dakwa"
"lawsuit","penuntutan perkara"
"lawsuit","perkara hukum"
"lawsuit","tuntutan mahkamah"
"bottom","berdasar"
"bottom","buntut"
"bottom","dasar"
"bottom","pantat"
"bottom","punggung"
"bottom","terbuntut"
"testimony","bukti"
"testimony","testimoni"
"bunch","berkas"
"bunch","gugusan"
"bunch","ikat"
"bunch","ikat ; tandan"
"bunch","ikatan"
"bunch","jambak"
"wind","angin"
"wind","bayu"
"wind","berpusing"
"wind","berputar"
"wind","kentut"
"wind","melilit"
"wind","memusing"
"wind","memutar"
"found","melebur"
"found","menemukan"
"found","mengasaskan"
"found","menubuhkan"
"found","menukang"
"found","terdapat"
"found","terdapat ; terjumpa"
"found","tertubuh"
"burden","beban"
"burden","beban ; bebanan"
"burden","bebanan"
"burden","membebani"
"react","membalas , bertindak balas , mempengaruhi ."
"react","memberi reaksi"
"react","menanggap"
"react","tanggap"
"chamber","bilik"
"chamber","dewan"
"chamber","dewan , ruangan ."
"chamber","kamar"
"chamber","kebuk"
"chamber","ruang"
"furniture","mebel"
"furniture","perabot"
"furniture","perabot-perabot"
"furniture","perabotan"
"cooperation","gotong"
"cooperation","gotong-royong ; kerjasama"
"cooperation","kerjasama"
"cooperation","kerjasama , koperasi ."
"string","ikatan"
"string","ikatan ; utas"
"string","rentetan ; tali"
"string","tali"
"string","tali , tampar ."
"string","tali ; rentetan ; deretan"
"string","untaian"
"string","untaian kata"
"ceremony","istiadat"
"ceremony","istiadat ; upacara"
"ceremony","upacara"
"communicate","berhubung"
"communicate","berkomunikasi"
"communicate","hubung"
"communicate","memberitahu"
"communicate","memberitahu , berhubungan ."
"communicate","mendapatkan"
"communicate","menghubungkan"
"communicate","menyampaikan"
"taste","cita rasa"
"taste","citarasa"
"taste","citarasa ; jamah ; kecap ; rasa"
"taste","kecap"
"taste","keelokan"
"taste","kesedapan"
"cheek","menakal"
"cheek","nakal"
"cheek","pipi"
"lost","hilang"
"lost","hilang ; sesat"
"lost","kehilangan"
"lost","sesat"
"lost","sesatlah"
"profile","bentuk"
"profile","penampang"
"profile","profil"
"profile","profil ; susuk"
"mechanism","alat mekanik"
"mechanism","kejenteraan"
"mechanism","mekanisme"
"mechanism","sistem jentera , pesawat ."
"disagree","berbalah"
"disagree","berkelahi"
"disagree","berselisih"
"disagree","bertentangan"
"disagree","guam"
"disagree","guam ; guam"
"disagree","membantah"
"disagree","telagah"
"penalty","dendaan"
"penalty","hukuman"
"penalty","hukuman , denda ."
"penalty","penalti"
"match","i) peraduan , pertandingan (ii) jodoh ."
"match","jodoh"
"match","laga perjuangan"
"match","mancis"
"match","mancis api"
"match","melawan"
"match","menandingi"
"resort","kunjungan"
"resort","mengambil tindakan"
"resort","tempat percutian"
"destruction","kehancuran"
"destruction","kehancuran ; pembinasaan"
"destruction","kemusnahan"
"destruction","kerosakan"
"destruction","pembinasaan"
"bear","beranak"
"bear","beruang"
"bear","i) beruang (ii) memikul , menahan , menderita (iii) beranak , bersalin ."
"bear","ingat"
"bear","lahir , menghasilkan , derita , menderita ."
"bear","larat"
"bear","menahan"
"unlikely","agak mustahil"
"unlikely","mustahil"
"unlikely","tak mungkin"
"tissue","empulur"
"tissue","tisu"
"constitutional","berperlembagaan"
"stranger","orang asing"
"stranger","orang asing , orang dagang ."
"stranger","orang luar"
"stranger","orang tak dikenali"
"infection","infeksi"
"infection","jangkitan"
"infection","kesan"
"infection","pengaruh"
"infection","penjangkitan"
"cabinet","almari"
"cabinet","jemaah menteri"
"cabinet","kabinet"
"cabinet","kabinet ,almari kecil ; jemaah menteri ."
"cabinet","rak"
"broken","dipatahkan"
"broken","hearted"
"broken","pecah"
"broken","terpecah"
"apple","apel"
"apple","buah epal"
"apple","epal"
"electric","elektrik"
"electric","listrik"
"electric","mengejutkan"
"proceed","bersambung"
"proceed","kemuka"
"proceed","mara"
"proceed","meneruskan"
"proceed","timbul"
"track","balapan"
"track","bekas roda , jejak , kesan , denai , balapan , gelanggang ."
"track","denai"
"track","jalan"
"track","jejak"
"bet","bertaruh"
"bet","mengagak"
"bet","perjudian"
"bet","pertaruhan"
"bet","taruh"
"bet","tikam"
"literary","berkenaan dengan sastera"
"literary","kesusasteraan"
"literary","persuratan"
"literary","sastera"
"virus","virus"
"virus","virus"
"stupid","ahmak"
"stupid","ahmak ; bangang ; bebal ; benak ; bodoh ; dungu ; jahil ; otak udang ; pandir ; tolol"
"stupid","bebal"
"stupid","bego"
"stupid","bodoh"
"stupid","dungu"
"stupid","goblok"
"dispute","berbahas"
"dispute","berbalah"
"fortune","kekayaan"
"fortune","keuntungan"
"fortune","nasib"
"fortune","teller"
"fortune","telling"
"fortune","tuah"
"fortune","untung"
"strategic","strategik"
"strategic","strategis"
"assistant","asisten"
"assistant","pembantu"
"assistant","penolong"
"assistant","penolong , pembantu ."
"overcome","atasi"
"overcome","lemas"
"overcome","melanda"
"overcome","melemaskan"
"overcome","menewaskan"
"overcome","mengalahkan"
"overcome","mengatasi"
"remarkable","ajaib"
"remarkable","ajaib , menarik perhatian , istimewa , luar biasa ."
"remarkable","hebat"
"remarkable","istimewa"
"remarkable","luar biasa"
"remarkable","pantas diperhatikan"
"occupy","menduduki"
"occupy","menghuni"
"occupy","mengisi"
"occupy","merampas"
"statistics","angka-angka , perangkaan ."
"statistics","perangkaan"
"statistics","statistik / ilmu statistik ; statistik"
"shopping","beli belah"
"shopping","membeli"
"shopping","membeli belah"
"shopping","membeli-belah"
"cousin","pupu"
"cousin","saudara sepupu"
"cousin","sepupu"
"encounter","berhadapan"
"encounter","bertemu"
"encounter","ditemukan"
"encounter","menemukan"
"encounter","pertembungan"
"encounter","sua"
"encounter","tembung"
"encounter","terserempak"
"wipe","cebok"
"wipe","lap"
"wipe","lap ; mengesat ; sapu"
"wipe","lapan"
"wipe","membersihkan"
"wipe","mengelap"
"wipe","mengeringkan"
"initially","asalnya"
"blind","bidai"
"blind","buta"
"blind","skrin"
"white","putih"
"white","putihlah"
"port","bandar"
"port","dinding kiri kapal"
"port","liang ; pelabuhan"
"port","liang pengudaraan"
"port","menabung senjata"
"port","pelabuan"
"port","pelabuhan"
"electricity","api letrik"
"electricity","elektrik ; keelektrikan"
"electricity","lektrik"
"electricity","listrik"
"genetic","genetik"
"genetic","mengenai baka"
"adviser","pembimbing"
"adviser","pembimbing ; penasihat"
"adviser","penasihat"
"pay","bayar"
"pay","bayar , membayar ."
"pay","bayaran"
"pay","bayarlah"
"pay","berbayar"
"pay","dibayar"
"pay","gaji"
"pay","membayar"
"pay","membayar ; membayarkan"
"spokesman","juru bicara"
"spokesman","jurubicara"
"spokesman","jurucakap"
"retain","membendung"
"retain","menahan"
"retain","menahan , menyimpan , memegang ."
"retain","mengekalkan"
"retain","menyimpan"
"latter","selepas itu"
"latter","terkemudian"
"latter","yang kemudian , yang terakhir ."
"incentive","dorongan"
"incentive","galakan"
"incentive","imbalan"
"incentive","imbuhan"
"incentive","insentif"
"incentive","perangsang"
"slave","abdi"
"slave","abdi ; hamba"
"slave","hamba"
"slave","hamba , abdi ; bekerja kuat ."
"slave","mengabdikan"
"slave","menghamba"
"slave","menghambakan"
"chemical","kimia"
"chemical","kimia , bahan kimia ."
"translate","diterjemahkan"
"translate","menerjemahkan"
"translate","menterjemah"
"translate","menterjemahkan"
"translate","menterjemahkan , mengalih bahasa ."
"translate","terjemah"
"translate","terjemahkan"
"translate","translasi ; terjemah"
"accurate","betul"
"accurate","jitu ; piawai"
"accurate","teliti"
"accurate","tepat"
"accurate","tepat , betul , teliti , selidik , cermat ."
"whereas","manakala"
"whereas","mengingat"
"whereas","padahal"
"whereas","sebaliknya"
"whereas","sedangkan"
"whereas","sedangkan , padahal ."
"whereas","sementara"
"terror","keganasan"
"terror","kekejaman"
"terror","teror"
"though","bagaimanapun"
"though","meskipun"
"though","sungguhpun"
"though","walaupun"
"expansion","kembangan"
"expansion","pembesaran"
"expansion","pengembangan"
"expansion","pengembangan ; kembangan"
"expansion","perkembangan"
"expansion","perluasan"
"expansion","perluasan , perkembangan ."
"elite","elit"
"Olympic","sukan empat tahun sekali"
"Olympic","Sukan Olimpik"
"dirt","daki"
"dirt","debu"
"dirt","debu ; kotoran"
"dirt","kekotoran"
"dirt","kotoran"
"dirt","lumpur"
"odd","ajaib"
"odd","aneh"
"odd","aneh ; ganjil ; gasal ; sasar"
"odd","ganjil"
"odd","gasal"
"rice","beras"
"rice","beras ketan"
"rice","field"
"rice","gabah"
"rice","grain with its husk"
"rice","nasi"
"rice","padi"
"rice","plant"
"bullet","pelor"
"bullet","peluru"
"bullet","proof"
"tight","cekang"
"tight","cekang ; erat ; ketat ; regang ; senak ; sendat ; sesak ; tegang ; terik"
"tight","erat"
"tight","ketat"
"tight","pedap"
"tight","rapat"
"Bible","alkitab"
"chart","carta"
"chart","carta ; rajah"
"chart","membuat peta"
"chart","memeta"
"chart","peta"
"chart","peta ; carta ; rajah"
"chart","rajah"
"solar","matahari"
"solar","suria"
"solar","yang berkenaan dengan matahari"
"decline","berkurang"
"decline","ditolak"
"decline","kelemahan"
"decline","kemerosotan"
"conservative","abadi"
"conservative","kolot"
"conservative","konservatif"
"process","aturan"
"process","cara"
"process","memproses"
"process","perjalanan"
"process","proses"
"process","taju"
"square","berhadapan"
"square","empat persegi"
"square","kuasa dua"
"square","kuasa dua ; segi empat sama"
"square","lapangan"
"square","medan"
"stick","batang"
"stick","kayu"
"stick","kayu hoki"
"stick","lekat ; tempel"
"stick","melekat"
"stick","melekatkan"
"stick","menahan"
"stick","menanggung"
"concentration","konsentrasi"
"concentration","konsentrasi , renyah , pemusatan , penumpahan ."
"concentration","penumpuan ; kepekatan"
"concentration","semadi"
"complicated","rumit"
"complicated","sulit , kusut , campur-aduk ."
"champion","berjuara"
"champion","jagoan"
"champion","jagoan ; jaguh ; johan ; juara"
"champion","jaguh"
"champion","johan"
"champion","juara"
"champion","juara , pahlawan , pendekar , johan ."
"champion","pembela"
"champion","sebagai juara"
"scenario","rangka lakon"
"scenario","rencana lakonan sandiwara (atau filem)"
"scenario","senario"
"scenario","skenario"
"telescope","keker"
"telescope","meneleskop"
"telescope","teleskop"
"telescope","teropong"
"telescope","teropong bintang"
"reflection","bayang"
"reflection","bayang ; bayang-bayang ; cerminan ; sorotan"
"reflection","bayangan"
"reflection","cerminan"
"reflection","gambaran"
"reflection","pantulan"
"reflection","pemantulan"
"reflection","refleksi"
"revolution","kisaran"
"revolution","pemberontakan"
"revolution","peredaran"
"revolution","perkisaran"
"revolution","pusingan"
"revolution","putaran"
"revolution","revolusi"
"strip","batang"
"strip","batang ; bulang ; jalur"
"strip","bertelanjang"
"strip","bertogel"
"strip","jalur"
"strip","jalur ; lucut"
"strip","kebogelan"
"interpret","tafsir"
"friendly","baik , baik-haiti ."
"friendly","mesra"
"friendly","mesra ; ramah ; ringan mulut"
"friendly","ramah"
"friendly","ringan mulut"
"tournament","kejuaraan"
"tournament","perlawanan"
"tournament","pertandingan"
"tournament","pertandingan , sayembara ."
"fiction","cereka"
"fiction","cerita rekaan"
"detect","kesan"
"detect","mendapati"
"detect","mengesah"
"detect","mengesan"
"detect","mengesani"
"detect","menyiasati"
"detect","siasat"
"balance","baki"
"balance","baki ; imbang ; saki-baki"
"balance","berimbang"
"balance","dacing"
"balance","imbang"
"balance","imbangan"
"likely","berkemungkinan"
"likely","boleh jadi"
"likely","kemungkinannya"
"lifetime","masa hayat"
"lifetime","sepanjang hayat"
"lifetime","seumur hidup"
"recommendation","pujian , pertimbangan , sokongan ."
"recommendation","saran"
"recommendation","syor"
"flow","alir"
"flow","alir , mengalir ."
"flow","alir ; cucur"
"flow","aliran"
"senator","anggota dewan senat"
"senator","anggota senat"
"senator","senator"
"senator","senator"
"market","i) perniagaan barang tertentu (ii) membeli atau menjual di pasar"
"market","memasarkan"
"market","pasar"
"market","pasaran"
"market","pekan"
"hunting","pemburuan"
"salad","coleslaw"
"salad","endive"
"salad","gado-gado"
"salad","lettuce"
"salad","makanan sayuran mentah , salad ."
"salad","salad"
"salad","salat"
"salad","sayur mentab"
"salad","ulam"
"guarantee","cagaran"
"guarantee","dijamin"
"guarantee","garansi"
"guarantee","gerenti"
"guarantee","jamin"
"guarantee","jaminan"
"guarantee","jaminan , tanggungan ; menjaminkan ."
"guarantee","mengakui"
"guarantee","menggerenti"
"guarantee","menjamin"
"innocent","anak"
"innocent","betul"
"innocent","betul bendul"
"innocent","lurus"
"innocent","murni"
"innocent","pandir"
"innocent","suci"
"innocent","tidak berdosa"
"innocent","tidak bersalah"
"boundary","batas"
"boundary","perbatas"
"boundary","perbatasan"
"boundary","perenggan"
"boundary","perenggan ; sempadan"
"boundary","sempadan"
"boundary","tapal batas"
"pause","berhenti sejenak"
"pause","berhenti sejenak , berjeda ; penghentian sebentar ."
"pause","berhenti sekejap"
"pause","berhenti seketika"
"pause","berjeda"
"pause","diam"
"pause","hentian"
"pause","jeda"
"remote","jauh"
"remote","mengasingkan diri"
"remote","sedikit"
